# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	2230
#@/user_id	5b6267af-6f98-4b37-bfcd-c62aa7d6ebbc
a 	啊	c=5 d=4.64539 t=2230
le 	了	c=35 d=10.3072 t=2230
lei si 	类似	c=3 d=2.26862 t=2230
li 	里	c=7 d=4.21352 t=2230
li mian 	里面	c=7 d=3.63582 t=2230
li zi 	例子	c=3 d=2.5164 t=2230
lian dao 	连到	c=1 d=0.900325 t=2230
lian ji 	练级	c=1 d=0.955997 t=2230
lian jie 	链接	c=6 d=3.88829 t=2230
lian xu 	连续	c=1 d=0.937067 t=2230
liang 	量	c=1 d=0.970446 t=2230
liang du 	亮度	c=2 d=1.14044 t=2230
liang ge 	两个	c=7 d=4.45701 t=2230
lie 	列	c=1 d=0.856415 t=2230
lin shi 	临时	c=1 d=0.965605 t=2230
ling dong 	灵动	c=3 d=2.20978 t=2230
ling dong dao 	灵动岛	c=9 d=5.96916 t=2230
ling yi zhong 	另一种	c=1 d=0.873716 t=2230
liu lan qi 	浏览器	c=1 d=0.97531 t=2230
lu jing 	路径	c=1 d=0.970446 t=2230
luo ji 	逻辑	c=2 d=1.51717 t=2230
ma 	吗	c=20 d=8.79213 t=2230
ma fan 	麻烦	c=1 d=0.891366 t=2230
mai 	卖	c=2 d=1.82387 t=2230
mai 	麦	c=3 d=2.9362 t=2230
mai ke feng 	麦克风	c=3 d=2.89299 t=2230
mei 	没	c=7 d=4.0497 t=2230
mei ban fa 	没办法	c=1 d=0.960789 t=2230
mei bi yao 	没必要	c=1 d=0.941765 t=2230
mei ci 	每次	c=6 d=4.01594 t=2230
mei fa 	没法	c=1 d=0.814647 t=2230
mei geng xin 	没更新	c=1 d=0.778801 t=2230
mei guan bi 	没关闭	c=1 d=0.985112 t=2230
mei hua 	美化	c=2 d=1.96561 t=2216
mei xian shi 	没显示	c=2 d=1.78272 t=2230
mei yong 	没用	c=1 d=0.774916 t=2230
mei you 	没有	c=11 d=5.36016 t=2230
mei yun xing 	没运行	c=1 d=0.955997 t=2230
men 	们	c=1 d=0.865022 t=2230
mian 	面	c=1 d=0.99005 t=2230
miao shu 	描述	c=1 d=0.985112 t=2230
ming ling 	命令	c=1 d=0.980199 t=2230
ming xian 	明显	c=1 d=0.946485 t=2230
mo kuai 	模块	c=4 d=3.11754 t=2230
mo ren 	默认	c=4 d=3.38616 t=2230
mo zu 	模组	c=1 d=0.965605 t=2230
mu 	母	c=1 d=0.697676 t=2230
mu lu 	目录	c=2 d=1.93124 t=2230
mu qian 	目前	c=1 d=0.88692 t=2230
na 	那	c=2 d=1.73868 t=2230
na ge 	哪个	c=2 d=1.83249 t=2230
na ge 	那个	c=4 d=2.62143 t=2230
na li 	哪里	c=14 d=5.58545 t=2230
na me duo 	那么多	c=1 d=0.97531 t=2230
ne 	呢	c=7 d=4.02805 t=2230
ne guan bi 	呢关闭	c=1 d=0.822835 t=2230
nei ping 	内屏	c=1 d=0.694197 t=2230
nei rong 	内容	c=2 d=1.89942 t=2230
neng 	能	c=18 d=8.58317 t=2230
neng ba 	能把	c=1 d=0.701173 t=2230
neng bu neng 	能不能	c=26 d=8.68712 t=2230
neng jin 	能进	c=1 d=1 t=2230
neng shi xian 	能实现	c=1 d=0.778801 t=2230
neng yong 	能用	c=1 d=0.937067 t=2230
ni 	你	c=1 d=0.771052 t=2230
ni de 	你的	c=4 d=2.31447 t=2230
ni hao 	你好	c=2 d=1.99005 t=2224
ni lai 	你来	c=1 d=0.88692 t=2230
ni men 	你们	c=1 d=0.985112 t=2230
ni na ge 	你哪个	c=1 d=0.946485 t=2230
ni ting 	你听	c=0 d=0.0980199 t=2230
ni ting a 	你听啊	c=1 d=0.985112 t=2230
ni ying gai 	你应该	c=1 d=0.878095 t=2230
niao 	鸟	c=0 d=0.0995012 t=2230
nv shi 	女士	c=1 d=0.946485 t=2230
pai lie 	排列	c=3 d=1.92501 t=2230
pei zhi 	配置	c=3 d=2.75091 t=2230
ping jia 	评价	c=3 d=1.94651 t=2230
ping mu 	屏幕	c=9 d=6.17295 t=2230
